unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
"7067510,HR473391,2009-08-09 00:50:00.000000 UTC,069XX W ROSCOE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1632,16,36,17,03,1129589.0,1921819.0,2009,2018-02-10 15:50:01.000000 UTC,41.941757049,-87.799118376,""(41.941757049, -87.799118376)"""
"6361171,HP449560,2008-07-13 00:00:00.000000 UTC,007XX W HUBBARD ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1323,12,27,24,06,1171224.0,1903290.0,2008,2018-02-28 15:56:25.000000 UTC,41.890098544,-87.646637504,""(41.890098544, -87.646637504)"""
"1540437,G294265,2001-05-21 21:53:21.000000 UTC,065XX S ROCKWELL ST,0560,ASSAULT,SIMPLE,STREET,false,false,832,8,,,08A,1160200.0,1861378.0,2001,2015-08-17 15:03:40.000000 UTC,41.775322198,-87.68827839,""(41.775322198, -87.68827839)"""
"9096672,HW241132,2013-04-20 01:00:00.000000 UTC,123XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,532,5,9,53,08B,1179068.0,1823259.0,2013,2018-02-10 15:50:01.000000 UTC,41.670309601,-87.620268309,""(41.670309601, -87.620268309)"""
"7447107,HS247876,2010-04-08 16:00:00.000000 UTC,062XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,false,false,313,3,20,42,14,1182638.0,1863713.0,2010,2018-02-10 15:50:01.000000 UTC,41.781238369,-87.60595147,""(41.781238369, -87.60595147)"""
"10740187,HZ500032,2016-11-02 16:14:00.000000 UTC,008XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,1833,18,42,8,11,1177338.0,1906181.0,2016,2018-02-10 15:50:01.000000 UTC,41.897895128,-87.624096605,""(41.897895128, -87.624096605)"""
"5797880,HN609228,2007-09-02 00:00:00.000000 UTC,032XX W ROOSEVELT RD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,1134,11,24,29,11,1154776.0,1894524.0,2007,2018-02-10 15:50:01.000000 UTC,41.866389063,-87.707276938,""(41.866389063, -87.707276938)"""
"6905957,HR313391,2009-05-10 14:32:54.000000 UTC,008XX W SUNNYSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2313,19,46,3,14,1169761.0,1930083.0,2009,2018-02-28 15:56:25.000000 UTC,41.963651845,-87.651227524,""(41.963651845, -87.651227524)"""
"11155878,JA519720,2017-11-20 21:06:00.000000 UTC,024XX S CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1024,10,22,30,08B,1152760.0,1887460.0,2017,2018-02-10 15:50:01.000000 UTC,41.847044728,-87.714864705,""(41.847044728, -87.714864705)"""
"6382428,HP464235,2008-07-20 16:00:00.000000 UTC,094XX S ASHLAND AVE,0870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,false,false,2221,22,21,73,06,1167325.0,1842212.0,2008,2018-02-28 15:56:25.000000 UTC,41.722578383,-87.662706548,""(41.722578383, -87.662706548)"""
"12021952,JD199954,2020-04-01 12:15:00.000000 UTC,057XX N ELSTON AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,false,false,1622,16,39,11,11,1137356.0,1937983.0,2020,2020-04-08 15:43:01.000000 UTC,41.985976194,-87.77018045,""(41.985976194, -87.77018045)"""
"5378282,HN227669,2007-03-12 10:30:00.000000 UTC,054XX W NORTH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2532,25,37,25,06,1139635.0,1910098.0,2007,2018-02-28 15:56:25.000000 UTC,41.909415629,-87.762481332,""(41.909415629, -87.762481332)"""
"11938145,JD100179,2020-01-01 01:00:00.000000 UTC,064XX N CLARK ST,0560,ASSAULT,SIMPLE,BAR OR TAVERN,false,true,2432,24,40,1,08A,1164357.0,1942729.0,2020,2020-01-08 15:46:16.000000 UTC,41.998469223,-87.670736531,""(41.998469223, -87.670736531)"""
"3521423,HK597640,2004-08-31 12:00:00.000000 UTC,024XX N FAIRFIELD AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1431,14,1,22,06,1157628.0,1916106.0,2004,2018-02-10 15:50:01.000000 UTC,41.925554427,-87.696218589,""(41.925554427, -87.696218589)"""
"11278782,JB215370,2018-04-07 20:49:00.000000 UTC,016XX S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1014,10,24,29,08B,1150666.0,1891562.0,2018,2021-09-07 15:41:02.000000 UTC,41.858342244,-87.72244262,""(41.858342244, -87.72244262)"""
"9051812,HW197092,2013-03-18 12:25:00.000000 UTC,031XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1933,19,44,6,06,1170274.0,1920971.0,2013,2018-02-10 15:50:01.000000 UTC,41.938636968,-87.64960867,""(41.938636968, -87.64960867)"""
"12000403,JD175379,2020-03-05 18:29:00.000000 UTC,036XX W FRANKLIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1122,11,27,23,08B,1152204.0,1903093.0,2020,2020-03-12 16:12:24.000000 UTC,41.889954403,-87.716492966,""(41.889954403, -87.716492966)"""
"7084017,HR491842,2009-06-26 19:00:00.000000 UTC,103XX S DOTY AVE E,0810,THEFT,OVER $500,OTHER,false,false,434,4,10,51,06,1189757.0,1836996.0,2009,2018-02-28 15:56:25.000000 UTC,41.707756212,-87.580708771,""(41.707756212, -87.580708771)"""
"4628774,HM225976,2006-03-11 10:30:00.000000 UTC,025XX N SOUTHPORT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,1933,19,32,7,14,1166545.0,1917154.0,2006,2018-02-28 15:56:25.000000 UTC,41.928243715,-87.663423179,""(41.928243715, -87.663423179)"""
"12083438,JD270514,2020-06-20 15:25:00.000000 UTC,065XX S TROY ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,831,8,17,66,08A,1156514.0,1861041.0,2020,2020-06-27 15:40:54.000000 UTC,41.774472495,-87.701800004,""(41.774472495, -87.701800004)"""
"11485924,JB487764,2018-10-24 07:30:00.000000 UTC,090XX S GREENWOOD AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,413,4,8,47,26,1185125.0,1845316.0,2018,2018-10-31 16:17:26.000000 UTC,41.730697101,-87.597410656,""(41.730697101, -87.597410656)"""
"10491783,HZ232313,2016-04-18 15:30:00.000000 UTC,056XX N JERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1711,17,40,13,08B,1153981.0,1937299.0,2016,2018-02-10 15:50:01.000000 UTC,41.983783014,-87.709052222,""(41.983783014, -87.709052222)"""
"4817183,HM317940,2006-04-28 13:39:10.000000 UTC,053XX W ADDISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1634,16,38,15,18,1140203.0,1923420.0,2006,2018-02-28 15:56:25.000000 UTC,41.94596221,-87.76006752,""(41.94596221, -87.76006752)"""
"3047109,HJ762306,2003-11-15 22:30:00.000000 UTC,069XX S CORNELL AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,332,3,5,43,26,1188548.0,1859379.0,2003,2021-09-07 15:41:02.000000 UTC,41.769206292,-87.584422815,""(41.769206292, -87.584422815)"""
"1343769,G025655,2001-01-12 19:15:00.000000 UTC,022XX W 18 PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1223,12,,,18,1161626.0,1891078.0,2001,2015-08-17 15:03:40.000000 UTC,41.856793068,-87.682225838,""(41.856793068, -87.682225838)"""
"1381558,G091325,2001-02-14 01:40:00.000000 UTC,060XX N BROADWAY,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,true,false,2433,24,,,06,1167254.0,1940095.0,2001,2015-08-17 15:03:40.000000 UTC,41.991179462,-87.660155617,""(41.991179462, -87.660155617)"""
"2962779,HJ559049,2003-08-13 10:20:00.000000 UTC,040XX S PRAIRIE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,true,false,214,2,3,38,18,1178708.0,1878208.0,2003,2018-02-28 15:56:25.000000 UTC,41.821104285,-87.619918506,""(41.821104285, -87.619918506)"""
"1720388,G524670,2001-09-02 01:56:05.000000 UTC,039XX N KILBOURN AV,0460,BATTERY,SIMPLE,APARTMENT,false,true,1731,17,,,08B,1145428.0,1925939.0,2001,2015-08-17 15:03:40.000000 UTC,41.952777062,-87.740797967,""(41.952777062, -87.740797967)"""
"5851446,HN660818,2007-10-21 04:02:00.000000 UTC,033XX W MONTROSE AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,1724,17,33,14,03,1153513.0,1929050.0,2007,2018-02-28 15:56:25.000000 UTC,41.961156617,-87.710993849,""(41.961156617, -87.710993849)"""
"11934454,JC561536,2019-12-27 07:49:00.000000 UTC,018XX W 36TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,912,9,12,59,26,1164505.0,1880827.0,2019,2020-01-03 17:36:20.000000 UTC,41.828602899,-87.671948104,""(41.828602899, -87.671948104)"""
"5799402,HN609137,2007-09-24 19:30:00.000000 UTC,047XX N SHERIDAN RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2312,19,46,3,18,1168772.0,1931854.0,2007,2018-02-28 15:56:25.000000 UTC,41.968533072,-87.654812168,""(41.968533072, -87.654812168)"""
"1801798,G628522,2001-10-17 18:00:00.000000 UTC,016XX E 79 ST,1310,CRIMINAL DAMAGE,TO PROPERTY,MOVIE HOUSE/THEATER,false,false,414,4,,,14,1188759.0,1852890.0,2001,2015-08-17 15:03:40.000000 UTC,41.751394861,-87.58385663,""(41.751394861, -87.58385663)"""
"9666866,HX316742,2014-06-24 10:00:00.000000 UTC,059XX N CICERO AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,true,false,1711,17,39,12,08B,1143290.0,1939259.0,2014,2018-02-10 15:50:01.000000 UTC,41.989368487,-87.748323095,""(41.989368487, -87.748323095)"""
"5819708,HN628105,2007-09-24 09:00:00.000000 UTC,004XX E 111TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,true,false,531,5,9,49,26,1181372.0,1831458.0,2007,2018-02-28 15:56:25.000000 UTC,41.692756203,-87.611584562,""(41.692756203, -87.611584562)"""
"12053305,JD234804,2020-04-04 16:00:00.000000 UTC,055XX S HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,715,7,15,67,14,1165624.0,1867868.0,2020,2020-05-20 15:40:03.000000 UTC,41.793018217,-87.668210553,""(41.793018217, -87.668210553)"""
"11977795,JD147442,2020-02-10 22:53:00.000000 UTC,004XX W 79TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,621,6,17,44,24,1174752.0,1852544.0,2020,2020-02-17 15:40:54.000000 UTC,41.750768752,-87.635195425,""(41.750768752, -87.635195425)"""
"5994020,HP102413,2007-12-20 09:00:00.000000 UTC,038XX N KILDARE AVE,0843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,1731,17,38,16,06,1146914.0,1925221.0,2007,2018-02-28 15:56:25.000000 UTC,41.950778488,-87.735353718,""(41.950778488, -87.735353718)"""
"13616803,JH451738,2024-10-01 15:50:00.000000 UTC,012XX N LARRABEE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1822,18,27,8,06,1172111.0,1908362.0,2024,2024-12-21 15:40:46.000000 UTC,41.903996883,-87.643230238,""(41.903996883, -87.643230238)"""
11738764,JC323401,2018-09-01 00:00:00.000000 UTC,014XX N MASSASOIT AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,APARTMENT,false,true,2531,25,29,25,02,,,2018,2021-09-07 15:41:02.000000 UTC,,,
"4606569,HM199940,2006-02-25 04:46:00.000000 UTC,055XX S MOZART ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,824,8,16,63,14,1158317.0,1867864.0,2006,2018-02-28 15:56:25.000000 UTC,41.793159248,-87.695004774,""(41.793159248, -87.695004774)"""
"12726573,JF275684,2022-06-11 10:30:00.000000 UTC,051XX S BLACKSTONE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,234,2,4,41,06,1186789.0,1871251.0,2022,2023-01-03 15:40:27.000000 UTC,41.80182586,-87.590494422,""(41.80182586, -87.590494422)"""
"11733759,JC319806,2019-06-24 13:30:00.000000 UTC,131XX S ST LAWRENCE AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,533,5,9,54,06,1182580.0,1818384.0,2019,2019-07-01 15:41:46.000000 UTC,41.65685141,-87.607565057,""(41.65685141, -87.607565057)"""
"13370879,JH154736,2023-12-21 11:00:00.000000 UTC,067XX S OGLESBY AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,331,3,5,43,08A,1192924.0,1860831.0,2023,2024-12-21 15:40:46.000000 UTC,41.773085006,-87.568335406,""(41.773085006, -87.568335406)"""
"12076202,JD261923,2020-06-12 13:20:00.000000 UTC,047XX W MADISON ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,1113,11,28,25,08B,1144795.0,1899601.0,2020,2020-06-19 15:41:57.000000 UTC,41.880514874,-87.74379049,""(41.880514874, -87.74379049)"""
"13691030,JH541310,2024-12-13 12:11:00.000000 UTC,045XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1913,19,46,3,06,1168246.0,1930319.0,2024,2024-12-21 15:42:01.000000 UTC,41.964332396,-87.656790803,""(41.964332396, -87.656790803)"""
"2419511,HH736629,2002-10-25 01:50:00.000000 UTC,014XX W JUNEWAY TER,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,APARTMENT,false,false,2422,24,49,1,04B,1165231.0,1951396.0,2002,2018-02-28 15:56:25.000000 UTC,42.02223302,-87.66727331,""(42.02223302, -87.66727331)"""
"12636586,JF167146,2022-03-03 17:00:00.000000 UTC,063XX N WAYNE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,2433,24,48,77,06,1166147.0,1942132.0,2022,2023-01-03 15:40:27.000000 UTC,41.996792844,-87.664168883,""(41.996792844, -87.664168883)"""
"10486664,HZ226423,2016-04-14 18:30:00.000000 UTC,075XX N RIDGE BLVD,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,2424,24,49,1,08A,1160547.0,1950062.0,2016,2018-02-10 15:50:01.000000 UTC,42.018671226,-87.684547853,""(42.018671226, -87.684547853)"""
"6066567,HP166193,2008-02-08 17:45:00.000000 UTC,059XX W CHICAGO AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,1511,15,29,25,06,1136806.0,1904733.0,2008,2018-02-28 15:56:25.000000 UTC,41.8947446,-87.773002733,""(41.8947446, -87.773002733)"""
"2222503,HH488742,2002-07-03 21:00:00.000000 UTC,003XX E 116TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,532,5,9,53,06,1180325.0,1827746.0,2002,2018-02-28 15:56:25.000000 UTC,41.682593957,-87.61553103,""(41.682593957, -87.61553103)"""
"11116982,JA469217,2017-10-13 00:30:00.000000 UTC,067XX S JEFFERY BLVD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,332,3,5,43,26,1190703.0,1860780.0,2017,2018-02-10 15:50:01.000000 UTC,41.772998982,-87.576478539,""(41.772998982, -87.576478539)"""
"12031796,JD210897,2020-04-17 11:30:00.000000 UTC,016XX W CARMEN AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,false,false,2032,20,40,3,03,1164513.0,1933933.0,2020,2020-04-24 15:40:45.000000 UTC,41.974329415,-87.670413114,""(41.974329415, -87.670413114)"""
"10723904,HZ482675,2016-10-20 01:58:00.000000 UTC,011XX W ADDISON ST,0460,BATTERY,SIMPLE,RESTAURANT,true,false,1924,19,44,6,08B,1168050.0,1924063.0,2016,2018-02-10 15:50:01.000000 UTC,41.947169937,-87.657692781,""(41.947169937, -87.657692781)"""
"10952938,JA273116,2017-05-19 08:30:00.000000 UTC,008XX E 49TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,223,2,4,39,05,1182588.0,1872700.0,2017,2018-02-10 15:50:01.000000 UTC,41.805900628,-87.605855964,""(41.805900628, -87.605855964)"""
"5191361,HM782615,2006-12-18 02:00:00.000000 UTC,033XX N SOUTHPORT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,false,false,1924,19,44,6,14,1166373.0,1922501.0,2006,2018-02-10 15:50:01.000000 UTC,41.942919845,-87.66390179,""(41.942919845, -87.66390179)"""
"9503287,HX158090,2014-02-19 22:00:00.000000 UTC,059XX N FAIRFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2011,20,40,2,06,1156934.0,1939261.0,2014,2016-02-04 06:33:39.000000 UTC,41.989107257,-87.698138028,""(41.989107257, -87.698138028)"""
"10226358,HY412728,2015-09-06 12:39:00.000000 UTC,013XX S BLUE ISLAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,CHA APARTMENT,false,false,1232,12,2,28,26,1168795.0,1893797.0,2015,2018-02-10 15:50:01.000000 UTC,41.864102036,-87.655833034,""(41.864102036, -87.655833034)"""
"5125345,HM710479,2006-11-09 11:45:00.000000 UTC,077XX S CICERO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,834,8,13,70,06,1145753.0,1852670.0,2006,2018-02-28 15:56:25.000000 UTC,41.751711081,-87.741459725,""(41.751711081, -87.741459725)"""
"12858900,JF434185,2022-10-14 12:01:00.000000 UTC,011XX E 62ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,false,false,314,3,20,42,14,1184655.0,1864123.0,2022,2023-01-03 15:40:27.000000 UTC,41.782316387,-87.598543957,""(41.782316387, -87.598543957)"""
"7627653,HS431953,2010-07-26 20:45:00.000000 UTC,025XX N KEDZIE BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1413,14,35,22,07,1154613.0,1916613.0,2010,2018-02-10 15:50:01.000000 UTC,41.927006613,-87.707283608,""(41.927006613, -87.707283608)"""
"8539018,HV215463,2012-03-26 15:30:00.000000 UTC,016XX S KOMENSKY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1012,10,24,29,08B,1149655.0,1891459.0,2012,2016-02-04 06:33:39.000000 UTC,41.858079279,-87.726156337,""(41.858079279, -87.726156337)"""
"4081122,HL425524,2005-06-16 21:48:41.000000 UTC,075XX S LANGLEY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,624,6,6,69,15,1182200.0,1855205.0,2005,2018-02-28 15:56:25.000000 UTC,41.757901737,-87.607820373,""(41.757901737, -87.607820373)"""
"12472844,JE361914,2021-09-04 23:28:00.000000 UTC,041XX S WESTERN BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,924,9,12,61,15,1161212.0,1877065.0,2021,2021-09-11 15:40:49.000000 UTC,41.818348465,-87.6841342,""(41.818348465, -87.6841342)"""
"12973761,JG141821,2023-02-05 17:00:00.000000 UTC,024XX W DEVON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CURRENCY EXCHANGE,false,false,2412,24,50,2,14,1159072.0,1942417.0,2023,2023-08-19 15:40:26.000000 UTC,41.997723659,-87.690186971,""(41.997723659, -87.690186971)"""
"8235150,HT469567,2011-08-28 05:15:00.000000 UTC,004XX W ARMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1812,18,43,7,14,1172817.0,1913579.0,2011,2018-02-10 15:50:01.000000 UTC,41.918296977,-87.640482147,""(41.918296977, -87.640482147)"""
"7620727,HS422687,2010-07-21 18:25:00.000000 UTC,053XX N CHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1614,16,41,76,08B,1118635.0,1934182.0,2010,2018-02-10 15:50:01.000000 UTC,41.975862946,-87.83911785,""(41.975862946, -87.83911785)"""
"8131188,HT365486,2011-06-25 16:30:00.000000 UTC,044XX S TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,912,9,14,58,08B,1156112.0,1874954.0,2011,2018-02-10 15:50:01.000000 UTC,41.812659819,-87.702899659,""(41.812659819, -87.702899659)"""
"12991401,JG162595,2023-02-22 19:00:00.000000 UTC,040XX W 115TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2211,22,19,74,07,1151275.0,1828011.0,2023,2023-08-19 15:40:26.000000 UTC,41.683936153,-87.721865668,""(41.683936153, -87.721865668)"""
"4798241,HM410803,2006-06-13 07:00:00.000000 UTC,082XX S BLACKSTONE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,411,4,8,45,08A,1187597.0,1850595.0,2006,2018-02-10 15:50:01.000000 UTC,41.745124857,-87.588187566,""(41.745124857, -87.588187566)"""
"12810872,JF375740,2022-08-28 01:15:00.000000 UTC,014XX N State Pkwy,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,1824,18,2,8,06,1176027.0,1910008.0,2022,2023-01-03 15:40:27.000000 UTC,41.908426234,-87.628796281,""(41.908426234, -87.628796281)"""
"9481786,HX134974,2014-01-31 23:20:00.000000 UTC,079XX S EMERALD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,621,6,17,71,18,1172679.0,1852220.0,2014,2018-02-10 15:50:01.000000 UTC,41.749925561,-87.642801399,""(41.749925561, -87.642801399)"""
"10786247,HZ554735,2016-12-17 09:15:00.000000 UTC,034XX N OZARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1631,16,36,17,14,1123816.0,1921797.0,2016,2018-02-10 15:50:01.000000 UTC,41.941793444,-87.820337536,""(41.941793444, -87.820337536)"""
"1483142,G214174,2001-04-15 08:10:00.000000 UTC,050XX N WINTHROP AV,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2033,20,,,18,1167906.0,1934173.0,2001,2015-08-17 15:03:40.000000 UTC,41.974915255,-87.657929171,""(41.974915255, -87.657929171)"""
"2082852,HH303314,2002-04-12 19:26:00.000000 UTC,066XX S DREXEL AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,321,3,,,08B,1183367.0,1861153.0,2002,2018-02-10 15:50:01.000000 UTC,41.774196541,-87.603358499,""(41.774196541, -87.603358499)"""
"13634309,JH472676,2024-10-18 04:30:00.000000 UTC,067XX S THROOP ST,0325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,724,7,17,67,03,1168818.0,1860115.0,2024,2024-12-21 15:40:46.000000 UTC,41.771674639,-87.656722213,""(41.771674639, -87.656722213)"""
"5620280,HN424557,2007-06-23 21:59:26.000000 UTC,011XX N LATROBE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1524,15,37,25,18,1141154.0,1907019.0,2007,2018-02-28 15:56:25.000000 UTC,41.900938623,-87.756977112,""(41.900938623, -87.756977112)"""
"11383651,JB354153,2018-07-17 13:30:00.000000 UTC,008XX E 65TH ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CHA HALLWAY/STAIRWELL/ELEVATOR,false,false,312,3,20,42,08B,1183153.0,1862099.0,2018,2018-07-24 16:15:32.000000 UTC,41.776797435,-87.604113569,""(41.776797435, -87.604113569)"""
"10061291,HY249825,2015-05-06 18:30:00.000000 UTC,029XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1124,11,28,27,08B,1156860.0,1898883.0,2015,2018-02-10 15:50:01.000000 UTC,41.878308641,-87.699508182,""(41.878308641, -87.699508182)"""
"4808511,HM411189,2006-06-13 01:00:00.000000 UTC,088XX S ADA ST,0460,BATTERY,SIMPLE,STREET,false,false,2222,22,21,71,08B,1168873.0,1846252.0,2006,2018-02-28 15:56:25.000000 UTC,41.733631506,-87.656920122,""(41.733631506, -87.656920122)"""
"7022523,HR207867,2009-03-09 00:01:00.000000 UTC,025XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1414,14,35,22,06,1155224.0,1916840.0,2009,2018-02-28 15:56:25.000000 UTC,41.927617255,-87.705032324,""(41.927617255, -87.705032324)"""
"10687999,HZ440824,2016-09-19 14:57:00.000000 UTC,048XX S JUSTINE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,933,9,20,61,08B,1166819.0,1872733.0,2016,2018-02-10 15:50:01.000000 UTC,41.80634289,-87.66368964,""(41.80634289, -87.66368964)"""
"2662084,HJ276192,2003-04-02 07:15:00.000000 UTC,014XX W CHASE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2423,24,49,1,14,1165367.0,1948359.0,2003,2018-02-10 15:50:01.000000 UTC,42.013896545,-87.666859849,""(42.013896545, -87.666859849)"""
"6133642,HP224346,2008-03-14 04:44:34.000000 UTC,012XX W 61ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,713,7,16,67,08B,1168890.0,1864323.0,2008,2018-02-28 15:56:25.000000 UTC,41.783220355,-87.65633685,""(41.783220355, -87.65633685)"""
"4240337,HL472663,2005-07-09 13:55:00.000000 UTC,066XX S RHODES AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,321,3,20,42,18,1181040.0,1861207.0,2005,2018-02-28 15:56:25.000000 UTC,41.774398607,-87.611887103,""(41.774398607, -87.611887103)"""
"12222686,JD432995,2020-11-16 12:17:00.000000 UTC,0000X E 76TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,false,false,623,6,6,69,15,1178362.0,1854649.0,2020,2020-12-17 15:40:05.000000 UTC,41.75646397,-87.621902947,""(41.75646397, -87.621902947)"""
"5647920,HN458717,2007-07-10 22:45:00.000000 UTC,038XX W NORTH AVE,1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,STREET,true,false,2535,25,30,23,16,1150229.0,1910354.0,2007,2018-02-28 15:56:25.000000 UTC,41.909918048,-87.723556565,""(41.909918048, -87.723556565)"""
"12092150,JD280753,2020-06-30 04:10:00.000000 UTC,005XX E 42ND PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,214,2,4,38,14,1180605.0,1876947.0,2020,2020-07-07 15:42:36.000000 UTC,41.81760057,-87.612998225,""(41.81760057, -87.612998225)"""
"5484834,HN306715,2007-04-25 19:00:00.000000 UTC,0000X N WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,false,false,122,1,42,32,11,1176805.0,1900569.0,2007,2018-02-28 15:56:25.000000 UTC,41.882507585,-87.626224098,""(41.882507585, -87.626224098)"""
